,census_block_group,devices07222019,devices02032020,pop_change,pop_pct_change
0,181050001001,65,106,41,63.07692307692307
1,181050001002,70,122,52,74.28571428571429
2,181050001003,52,91,39,75.0
8,181050003011,48,64,16,33.33333333333333
9,181050003012,38,57,19,50.0
10,181050003013,28,43,15,53.57142857142857
13,181050003022,14,20,6,42.857142857142854
14,181050003023,15,28,13,86.66666666666667
15,181050003024,20,20,0,0.0
16,181050004011,104,177,73,70.1923076923077
17,181050004012,17,28,11,64.70588235294117
18,181050004013,95,174,79,83.15789473684211
19,181050004021,156,268,112,71.7948717948718
20,181050004022,39,45,6,15.384615384615385
21,181050005011,49,85,36,73.46938775510205
22,181050005012,101,162,61,60.396039603960396
23,181050005013,103,142,39,37.86407766990291
24,181050005022,78,48,-30,-38.46153846153847
25,181050005023,49,86,37,75.51020408163265
26,181050006011,38,53,15,39.473684210526315
27,181050006012,94,127,33,35.1063829787234
28,181050006021,118,175,57,48.30508474576271
29,181050006022,55,58,3,5.454545454545454
30,181050007001,61,72,11,18.0327868852459
31,181050007002,28,35,7,25.0
33,181050008001,29,48,19,65.51724137931035
34,181050008002,60,79,19,31.666666666666664
35,181050008003,32,42,10,31.25
36,181050008004,86,122,36,41.86046511627907
37,181050009011,32,51,19,59.375
38,181050009012,64,61,-3,-4.6875
39,181050009031,59,72,13,22.033898305084744
40,181050009032,26,33,7,26.923076923076923
41,181050009033,49,58,9,18.367346938775512
42,181050009034,43,76,33,76.74418604651163
43,181050009041,56,83,27,48.214285714285715
44,181050009042,49,70,21,42.857142857142854
45,181050009043,81,111,30,37.03703703703704
46,181050010011,96,131,35,36.45833333333333
47,181050010012,56,59,3,5.357142857142857
48,181050010013,257,465,208,80.93385214007782
49,181050010021,45,53,8,17.77777777777778
50,181050010022,66,78,12,18.181818181818183
51,181050010023,59,63,4,6.779661016949152
52,181050010024,65,95,30,46.15384615384615
53,181050011011,42,59,17,40.476190476190474
54,181050011012,48,83,35,72.91666666666666
55,181050011013,47,68,21,44.680851063829785
56,181050011014,48,86,38,79.16666666666666
57,181050011021,91,98,7,7.6923076923076925
58,181050011022,119,160,41,34.45378151260504
59,181050011031,65,110,45,69.23076923076923
60,181050011032,55,77,22,40.0
61,181050011033,36,53,17,47.22222222222222
62,181050012001,46,71,25,54.347826086956516
64,181050012003,35,60,25,71.42857142857143
65,181050012004,21,41,20,95.23809523809523
67,181050012006,37,69,32,86.48648648648648
68,181050013012,41,65,24,58.536585365853654
69,181050013013,42,65,23,54.761904761904766
71,181050013032,128,200,72,56.25
72,181050013033,91,126,35,38.46153846153847
73,181050013041,78,90,12,15.384615384615385
74,181050013042,43,49,6,13.953488372093023
75,181050013043,97,140,43,44.329896907216494
76,181050013051,145,209,64,44.13793103448276
77,181050014011,56,68,12,21.428571428571427
79,181050014022,41,60,19,46.34146341463415
80,181050014023,50,75,25,50.0
81,181050014024,25,33,8,32.0
82,181050014025,117,203,86,73.50427350427351
83,181050015011,106,149,43,40.56603773584906
84,181050015012,95,139,44,46.31578947368421
85,181050015013,82,107,25,30.48780487804878
86,181050015021,77,110,33,42.857142857142854
87,181050015022,56,72,16,28.57142857142857
91,181199559003,80,107,27,33.75
