,census_block_group,devices07222019,devices02032020,pop_change,pop_pct_change
3,181050002011,4,108,104,26.0
4,181050002012,4,169,165,41.25
5,181050002013,22,94,72,3.272727272727273
6,181050002021,58,428,370,6.379310344827586
7,181050002022,21,327,306,14.571428571428571
11,181050003014,28,66,38,1.3571428571428572
12,181050003021,22,56,34,1.5454545454545454
32,181050007003,62,141,79,1.2741935483870968
63,181050012002,42,135,93,2.2142857142857144
66,181050012005,59,181,122,2.0677966101694913
70,181050013014,54,116,62,1.1481481481481481
78,181050014012,28,60,32,1.1428571428571428
88,181050016001,94,219,125,1.3297872340425532
89,181050016002,61,139,78,1.278688524590164
90,181050016003,11,79,68,6.181818181818182
