safegraph_place_id,location_name,street_address,city,region,postal_code,naics_code,safegraph_brand_ids,date_range_start,date_range_end,poi_cbg,latitude,longitude,visitor_home_cbgs,x181050002011_visits,x181050002012_visits,x181050002013_visits,x181050002021_visits,x181050002022_visits,x181050003014_visits,x181050003021_visits,x181050007003_visits,x181050012002_visits,x181050012005_visits,x181050013014_visits,x181050014012_visits,x181050016001_visits,x181050016002_visits,x181050016003_visits
sg:0b903e9ade7f406fa229a0eb7791f901,Phoenix Convention Center,100 N 3rd St,Phoenix,AZ,85004,712190,,2020-04-01 07:00:00 UTC,2020-05-01 07:00:00 UTC,40131141001,33.449788,-112.070991,"{""040131141001"":28,""040131131002"":15,""040131091021"":10,""040131092001"":5,""040131044011"":4,""482014514021"":4,""060710251002"":4,""040030018003"":4,""040159526001"":4,""040131042224"":4,""040130610241"":4,""040159532001"":4,""490211104004"":4,""490490009013"":4,""040131084002"":4,""040131166063"":4,""040130610371"":4,""040159524002"":4,""181050007003"":4,""040134223012"":4,""040130923112"":4,""040138162002"":4,""060373107022"":4,""040131129002"":4,""040130610403"":4,""040133194012"":4,""040131064001"":4,""530530616011"":4,""040131096011"":4,""040190046341"":4,""040138160001"":4,""040131093002"":4,""040136111002"":4,""040130405152"":4,""490490031032"":4,""040130609033"":4,""040130405284"":4,""040131125041"":4,""060372074001"":4,""040190014004"":4,""040131118002"":4,""040136123004"":4,""040210002081"":4,""040190044231"":4,""060373021041"":4,""040134205032"":4,""040134202062"":4,""490479684021"":4,""040134207052"":4,""040130927202"":4,""040131142001"":4,""040190046451"":4,""040131131001"":4,""040131144022"":4,""490572003002"":4,""040131061001"":4,""040131167083"":4,""040190043271"":4}",,,,,,,,4,,,,,,,
sg:05b6790c36084914a67ac117da016254,Pilot Flying J,3500 N Plainview Rd,Walcott,IA,52773,447110,SG_BRAND_70ee541161859d65,2020-04-01 05:00:00 UTC,2020-05-01 05:00:00 UTC,191630103001,41.619664,-90.785408,"{""191630103001"":23,""191630104012"":12,""191573702001"":12,""191630104015"":9,""191630103002"":9,""410050210003"":8,""191630104011"":8,""080870007001"":7,""190314504003"":6,""421010358001"":6,""261390230012"":5,""060710099043"":5,""390170103012"":5,""320310031013"":5,""190314504002"":5,""120110307031"":5,""271410301021"":5,""190079501001"":5,""191712906003"":5,""180910427003"":5,""191390501002"":5,""170010001001"":5,""270917904001"":5,""191630125013"":5,""040210016004"":5,""290470218043"":5,""180390002002"":4,""060730091071"":4,""060250123022"":4,""191030104005"":4,""170830104022"":4,""190799602003"":4,""482012105003"":4,""471550804001"":4,""290370606004"":4,""171610223001"":4,""171950001004"":4,""471630403002"":4,""380170102012"":4,""390210102005"":4,""010150002001"":4,""511076118042"":4,""490351129131"":4,""421179505002"":4,""160199712004"":4,""171030005004"":4,""420970803005"":4,""040120205011"":4,""482012323012"":4,""190650803001"":4,""490351030001"":4,""011210120002"":4,""190450010003"":4,""310550031004"":4,""400399604004"":4,""450830220061"":4,""250056425002"":4,""170318426002"":4,""540690006001"":4,""191810206002"":4,""250277320022"":4,""350559401002"":4,""471150501011"":4,""171150022001"":4,""371270106022"":4,""291974702003"":4,""271090009014"":4,""490351145003"":4,""191630120001"":4,""390490082102"":4,""191839604001"":4,""132171008002"":4,""040159516023"":4,""200910526031"":4,""181095102024"":4,""270990013003"":4,""191630104014"":4,""180879706002"":4,""190693601002"":4,""290819502002"":4,""210170306002"":4,""190314505006"":4,""191690102001"":4,""470930058082"":4,""191499702001"":4,""340110409011"":4,""170318051101"":4,""490451307022"":4,""171950006002"":4,""290470218044"":4,""171610241012"":4,""180594109003"":4,""530539400022"":4,""260810116005"":4,""390690004001"":4,""490451307021"":4,""260873305001"":4,""311679622001"":4,""191630131001"":4,""190314505004"":4,""191390502001"":4,""560299654003"":4,""191250304012"":4,""470851301001"":4,""191130030021"":4,""311090104002"":4,""120860005031"":4,""170318043083"":4,""060650435062"":4,""391419569001"":4,""180030021002"":4,""121270830071"":4,""483090041032"":4,""530630141002"":4,""170318206062"":4,""191630137032"":4,""170759505001"":4,""484559504002"":4,""171950005004"":4,""171610230001"":4,""180530106001"":4,""050070202051"":4,""291450205021"":4,""181457104002"":4,""461030114002"":4,""170898532003"":4,""132379601022"":4,""040136141003"":4,""060710127001"":4,""171610241024"":4,""200119559002"":4,""170318241221"":4,""291879506001"":4,""191530113001"":4,""482570506004"":4,""320030054211"":4,""170318045062"":4,""490351147001"":4,""190314503003"":4,""191810211002"":4,""550090213041"":4,""050234803001"":4,""371899202002"":4,""310790013001"":4,""360379503005"":4,""180859624002"":4,""191630137023"":4,""560210019021"":4,""484391139272"":4,""170318237031"":4,""190130030012"":4,""180859625002"":4,""170311711002"":4,""080310035004"":4,""482030202001"":4,""391034120003"":4,""550050010023"":4,""051250105112"":4,""180390006002"":4,""170370008003"":4,""131510705022"":4,""040210021011"":4,""290950155001"":4,""310539638003"":4,""170318061042"":4,""120830002001"":4,""191630101013"":4,""171610201005"":4,""420410118032"":4,""371050304013"":4,""060670074291"":4,""450450028031"":4,""310550058006"":4,""292154802002"":4,""191390501001"":4,""180350014002"":4,""310259658003"":4,""050930103002"":4,""240479514003"":4,""291190704002"":4,""171859573003"":4,""060710118004"":4,""170978615072"":4,""261476460003"":4,""311530107021"":4,""401350304021"":4,""170898504001"":4,""170317111003"":4,""390250408004"":4,""190314504001"":4,""191630102023"":4,""170730302012"":4,""180890411002"":4,""060710046034"":4,""310259659004"":4,""201390103001"":4,""190410804003"":4,""180859613003"":4,""421330228001"":4,""191630111001"":4,""181050012005"":4,""191630134002"":4,""171790216051"":4,""310399729002"":4,""080010083091"":4,""170850204023"":4,""190490507003"":4,""051310010013"":4,""171610245002"":4,""060952523172"":4,""081230014131"":4,""530610521071"":4,""190314502004"":4,""160119506002"":4,""171130001051"":4,""180890417001"":4,""060610213222"":4,""360810613012"":4,""050990903001"":4,""290910901003"":4,""420770051004"":4,""081230010061"":4,""380170405002"":4,""481479506002"":4,""191279504003"":4,""292017806001"":4,""261439711002"":4,""060730029052"":4,""560210020001"":4,""201137881001"":4,""560079677003"":4,""191690105001"":4,""482319607002"":4,""421330205212"":4,""190570010001"":4,""481079501003"":4,""190990406001"":4,""040159548001"":4,""391130018001"":4,""181630037022"":4,""420171011001"":4,""180390021012"":4,""291070902001"":4,""391650306002"":4,""340330206002"":4,""170318060035"":4,""171610203002"":4,""390351381092"":4,""360070002002"":4,""270370607431"":4,""540390110001"":4,""051159513003"":4,""170318043112"":4,""320030053571"":4,""390610215711"":4,""191630104022"":4,""480913104016"":4,""191630126022"":4,""401010007004"":4,""511770204041"":4,""450830232024"":4,""171978801184"":4,""261210014024"":4,""470930059051"":4,""160679702002"":4,""191530110281"":4,""060670081371"":4,""211999306001"":4,""261450131001"":4,""291070904006"":4,""191573705003"":4,""060990036062"":4,""271617904001"":4,""211510113023"":4,""131210105103"":4,""490572104042"":4,""171610211001"":4,""170317707001"":4,""040131094002"":4,""471450302014"":4,""170318034004"":4,""132070501011"":4,""170318206041"":4,""170119651001"":4,""460139517001"":4,""170318030083"":4,""191390502004"":4}",,,,,,,,,,4,,,,,
sg:55580c5982e34e96aa438eb1856aa1a3,Pilot Flying J,23841 W Eames St,Channahon,IL,60410,447110,SG_BRAND_70ee541161859d65,2020-04-01 05:00:00 UTC,2020-05-01 05:00:00 UTC,171978833062,41.457373,-88.192077,"{""171978833062"":21,""171978832112"":15,""171978833052"":12,""170630001021"":9,""170630001031"":9,""132171005021"":7,""171978832113"":7,""171978834011"":7,""170318255053"":7,""170318051072"":6,""171978833051"":6,""171978833061"":6,""170630008001"":6,""260799504001"":6,""470539664003"":6,""360050334001"":6,""170910103002"":5,""170318232002"":5,""132231202031"":5,""171978829002"":5,""290770041021"":5,""120860093091"":5,""360470546003"":5,""260490026005"":4,""120690305043"":4,""421010336005"":4,""170910106023"":4,""010939640001"":4,""170318051116"":4,""370499611003"":4,""390490029001"":4,""170310202001"":4,""050350306001"":4,""421010355003"":4,""170938905003"":4,""131299703004"":4,""170310301022"":4,""181270511011"":4,""171978832132"":4,""060590995081"":4,""171978834021"":4,""171978828022"":4,""171978834022"":4,""170999637004"":4,""170318184014"":4,""051450711002"":4,""360870116024"":4,""131759510001"":4,""420430246003"":4,""170318253021"":4,""170318171022"":4,""171978802041"":4,""172010001013"":4,""171978812004"":4,""181050007003"":4,""171978840033"":4,""040210019002"":4,""060710046034"":4,""280470035053"":4,""390490025103"":4,""010730100011"":4,""550090003023"":4,""080010095532"":4,""060730091071"":4,""060710127001"":4,""171978804192"":4,""260350013003"":4,""170070102002"":4,""170438463101"":4,""550819502004"":4,""120990026001"":4,""171978832102"":4,""090034969001"":4,""121113808001"":4,""482150218052"":4,""170318241074"":4,""270370607171"":4,""391390021023"":4,""130630404101"":4,""291892114011"":4,""483090043004"":4,""120710108014"":4,""120110601173"":4,""291319628002"":4,""170318285061"":4,""510210402002"":4,""170999619002"":4,""170318038003"":4,""120330034001"":4,""131350504173"":4,""171978803142"":4,""485039504004"":4,""450630206051"":4,""210290212003"":4,""191550313001"":4,""170630008003"":4,""170318246022"":4,""171978810072"":4,""170630001022"":4,""120570137023"":4,""281210207011"":4,""171978833071"":4,""470370174021"":4,""280790406005"":4,""470930064021"":4,""484790017132"":4,""120310161004"":4,""170070104004"":4,""170318061042"":4,""391650320062"":4,""170318202022"":4,""170311405001"":4,""171978833031"":4,""170316606005"":4,""482014215004"":4,""131350506071"":4,""132171005012"":4,""482150217023"":4,""171978840041"":4,""131299709003"":4,""481130169031"":4,""170910122003"":4,""191499702001"":4,""170318230015"":4,""480270224041"":4,""050379505005"":4,""171978824001"":4,""120860106103"":4,""290770048012"":4,""171978828011"":4,""401091086011"":4,""170630009003"":4,""171978809052"":4,""212110405023"":4,""470499651004"":4,""170318191002"":4,""360110405001"":4,""471870501021"":4,""171978804183"":4,""482014553001"":4,""483750134001"":4,""260992627002"":4,""130771706012"":4,""170311103002"":4,""484999503023"":4,""420792101002"":4,""060670090111"":4,""131210086022"":4,""170438448022"":4,""171118712071"":4,""210290201012"":4,""484910203281"":4,""050299501002"":4,""290370607002"":4,""360379503005"":4,""060375539022"":4,""171978801061"":4,""290950155001"":4,""390490095904"":4,""171978833032"":4,""170938903012"":4,""172010043001"":4,""171978810091"":4,""170311303004"":4,""170318209012"":4,""390490053002"":4,""200410846003"":4,""250056425002"":4,""040131168002"":4,""400198926002"":4,""172010017003"":4,""171978826022"":4,""170318206042"":4,""130630406081"":4,""120111106002"":4,""170438401043"":4,""171978823002"":4,""170938904001"":4,""170630007004"":4,""171978802021"":4,""171978840031"":4,""130970805052"":4,""401091069122"":4,""201730097001"":4,""171978823001"":4,""295101054002"":4,""130351503004"":4,""170318266003"":4,""120860188003"":4,""260650054012"":4,""170318263032"":4,""290997008022"":4,""170630007003"":4,""281210201013"":4,""170318060042"":4,""171670020002"":4,""120310106002"":4,""484790017111"":4,""421010106002"":4,""170317608011"":4,""360470592002"":4,""120950167341"":4,""171978836051"":4,""060371284004"":4,""420034900043"":4,""450830228012"":4,""010919730006"":4,""471470801031"":4,""170978660002"":4}",,,,,,,,4,,,,,,,
sg:bebac4eabf0f4defb88c1dc569f2abb2,Target,2966 E 3rd St,Bloomington,IN,47401,452210,SG_BRAND_42aefbae01d2dfd981f7da7d823d689e,2020-04-01 04:00:00 UTC,2020-05-01 04:00:00 UTC,181050009041,39.161786,-86.494235,"{""181050004021"":31,""181050010011"":23,""181050015011"":21,""181050011022"":19,""181050013032"":18,""181050014023"":18,""181050013051"":16,""181050010022"":15,""181050008004"":15,""181050013011"":14,""181050009034"":12,""181050005013"":12,""181050015012"":12,""181050015022"":11,""181050011014"":11,""181050009031"":11,""181050013033"":11,""181050014011"":11,""181050001003"":11,""181050014025"":10,""181050006021"":10,""181050011013"":10,""181050016002"":9,""181050010013"":9,""181050015021"":8,""181050007001"":8,""181050011032"":8,""181050016001"":8,""181050006022"":8,""181050005012"":7,""181050008001"":7,""181050015013"":7,""181050013041"":7,""181050009043"":7,""181050014022"":7,""180139747003"":7,""181270501034"":6,""180632107001"":6,""180939513002"":6,""181050013043"":6,""181050007002"":6,""181050011031"":6,""180939506003"":6,""181050006012"":6,""181050009012"":6,""181179513001"":6,""181050010012"":6,""181050009042"":6,""181050011021"":6,""181050010021"":6,""181050004013"":5,""181050008003"":5,""181050004011"":5,""181050014021"":5,""181050001001"":5,""180559547011"":5,""181050013014"":5,""181050012005"":5,""181050006011"":4,""180939505003"":4,""180816102012"":4,""181630107004"":4,""181050013031"":4,""180939508001"":4,""181095109001"":4,""181050012006"":4,""181199559002"":4,""181199559001"":4,""180973201061"":4,""180939505002"":4,""181050005011"":4,""181095102024"":4,""180430711012"":4,""180816112001"":4,""181050009011"":4,""181050010023"":4,""180210405002"":4,""181050008002"":4,""180779661003"":4,""180939505001"":4,""181199555002"":4,""180859611001"":4,""180050107001"":4,""181199558003"":4,""181050009041"":4,""180279544001"":4,""181379684003"":4,""181199558004"":4,""181050013042"":4,""180139749001"":4,""181095107024"":4,""181199559003"":4,""181050003021"":4,""181050005023"":4,""180559547013"":4,""180559547022"":4,""180210406004"":4,""181630032003"":4,""180050114001"":4,""180939509003"":4,""181670107021"":4,""180559547021"":4,""180839558002"":4,""180939512002"":4,""180939513004"":4,""180279543002"":4,""181050014012"":4,""181095107021"":4,""181050014024"":4,""170438455023"":4,""180139748004"":4,""181410106003"":4,""180571109031"":4,""180559554002"":4,""181050001002"":4,""181199557002"":4,""180939506004"":4,""181095110002"":4,""181050012002"":4,""180973420002"":4,""180939512001"":4,""180939506005"":4,""180139749003"":4,""180939511002"":4,""181270506022"":4,""180430710035"":4,""181095101002"":4,""181050004022"":4,""181050013012"":4,""181050007003"":4,""181050003013"":4,""180939510001"":4,""180973812012"":4,""180430710033"":4,""180973510003"":4,""181050003011"":4,""180816106044"":4,""181050011033"":4,""180210405003"":4,""180939507004"":4,""180030103081"":4,""181530501005"":4,""180939511003"":4,""181050009032"":4}",,,,,,,4,4,4,5,5,4,8,9,
sg:1d0fee4d6efa49f8a5b504917e36547b,Breakaway,301 S Walnut St,Bloomington,IN,47401,451140,,2020-04-01 04:00:00 UTC,2020-05-01 04:00:00 UTC,181050001003,39.164436,-86.533308,"{""180939505001"":4,""181050011013"":4,""181050003011"":4,""181050010024"":4,""181050004013"":4,""181050007003"":4,""181050011012"":4,""181050016003"":4,""181050011031"":4,""181050006021"":4,""181050009031"":4,""181050009034"":4,""181050013032"":4}",,,,,,,,4,,,,,,,4
sg:7c575080e9384d949f6bc39b4a988acb,The Cat Rental Store,2305 W Industrial Park Dr,Bloomington,IN,47404,532490,SG_BRAND_e5b46100379c3529be5f67422662b5e7,2020-04-01 04:00:00 UTC,2020-05-01 04:00:00 UTC,181050013013,39.174274,-86.568756,"{""181050013041"":4,""292017804003"":4,""180571108093"":4,""180159594001"":4,""181199555001"":4,""180939506003"":4,""181050013031"":4,""181199557001"":4,""181050014012"":4,""180559547012"":4,""180939513001"":4}",,,,,,,,,,,,4,,,
sg:6d7d4f0dd4484228ad20e2c8bc68a3cc,Smoke N Lotto,2920 S Leonard Springs Rd,Bloomington,IN,47403,453991,,2020-04-01 04:00:00 UTC,2020-05-01 04:00:00 UTC,181050005023,39.13404,-86.583002,"{""181050005021"":10,""181050012005"":7,""181050005023"":7,""181050013011"":5,""181050012002"":4,""180939507003"":4,""181050015013"":4,""181050013051"":4,""011030009001"":4,""180559552003"":4,""181199559003"":4,""181050013032"":4,""181050013041"":4,""170279006025"":4,""180559547022"":4,""181199558003"":4,""181050012001"":4,""181050014021"":4,""181050005022"":4}",,,,,,,,,4,7,,,,,
sg:b5883504f1d34e188b27234b083a4101,GameStop,383 Grand Valley Blvd,Martinsville,IN,46151,451120,SG_BRAND_548fcc570f3cdce01c20a3c8f1e624f6,2020-04-01 04:00:00 UTC,2020-05-01 04:00:00 UTC,181095107023,39.415405,-86.405676,"{""181095108002"":4,""181095106004"":4,""181095109003"":4,""181095103001"":4,""181095106003"":4,""181095109002"":4,""181095107021"":4,""181095110001"":4,""181095107023"":4,""181050014012"":4}",,,,,,,,,,,,4,,,
sg:3db5ef04f96842e090e24ef73ee47b37,Half Price Books,3120 W Susan Dr,Bloomington,IN,47404,451211,SG_BRAND_9729594feb67a8a3cfce3720c5c06bed,2020-04-01 04:00:00 UTC,2020-05-01 04:00:00 UTC,181050013013,39.17154,-86.573286,"{""181050013013"":10,""181050006012"":9,""181050013014"":6,""181050004013"":4,""180939512001"":4,""181050011021"":4,""180973226004"":4,""181050012003"":4,""181050008004"":4,""181050005012"":4,""261158302003"":4,""181050012002"":4,""181050005011"":4,""181050011014"":4,""181050006022"":4}",,,,,,,,,4,,6,,,,
sg:8573444ae6474a5e8e25523a9895c0a5,Staples,2815 E 3rd St,Bloomington,IN,47401,453210,SG_BRAND_a4d18fc84a927940d1294e253001ce3d,2020-04-01 04:00:00 UTC,2020-05-01 04:00:00 UTC,181050009031,39.165883,-86.495757,"{""181050010011"":9,""181050013032"":9,""181050011014"":7,""181050014025"":6,""181050015011"":6,""181050011022"":5,""181050004021"":4,""181050008004"":4,""181050010022"":4,""181050004013"":4,""181050011012"":4,""181050009031"":4,""181050015021"":4,""181050003013"":4,""180571103004"":4,""181050016001"":4,""181050009011"":4,""181050005021"":4,""181050009043"":4,""181050002013"":4,""181050015022"":4,""181050013031"":4,""181050016002"":4,""180890416002"":4,""180559547014"":4,""180799604001"":4,""181199555001"":4,""181050006021"":4,""181095107012"":4,""181050010012"":4,""181050011021"":4,""180939505001"":4,""181050005012"":4,""181050014023"":4,""181050008001"":4,""181050011032"":4,""181050013043"":4,""181050015013"":4,""181050014024"":4,""180139747003"":4,""181050009034"":4,""181050009041"":4,""181050001003"":4,""181050013051"":4,""181050003022"":4,""181050003012"":4}",,,4,,,,,,,,,,4,4,
