,census_block_group,devices07222019,devices02032020,pop_change,pop_pct_change
3,181050002011,4,108,104,2600.0
4,181050002012,4,169,165,4125.0
5,181050002013,22,94,72,327.2727272727273
6,181050002021,58,428,370,637.9310344827586
7,181050002022,21,327,306,1457.142857142857
11,181050003014,28,66,38,135.71428571428572
12,181050003021,22,56,34,154.54545454545453
32,181050007003,62,141,79,127.41935483870968
63,181050012002,42,135,93,221.42857142857144
66,181050012005,59,181,122,206.77966101694915
70,181050013014,54,116,62,114.81481481481481
78,181050014012,28,60,32,114.28571428571428
88,181050016001,94,219,125,132.9787234042553
89,181050016002,61,139,78,127.86885245901641
90,181050016003,11,79,68,618.1818181818181
