,safegraph_place_id,poi_cbg,latitude,longitude,source_cbg,visits
0,sg:b3c68268355e4631bae227c803460004,100030112022,39.832852,-75.536028,181050002011,4
12,sg:1bdceb6dcdd64d928382b67a9bfab2d0,40131138021,33.435681,-112.013975,181050002011,4
47,sg:48d5cb808a9e4be0a6744f2223a71479,60133390011,37.895629,-122.061146,181050002011,4
48,sg:2d8198ff5bed49c69c3abd0e92cde6b6,60590320543,33.6375,-117.59135900000001,181050002011,4
82,sg:cfb80f49853c4a369a9d93a14a806400,90010201002,41.054449,-73.540442,181050002011,4
97,sg:f8f4380aa1f34a96b0ef5072e63c78c7,121150009001,27.368295,-82.552479,181050002011,5
113,sg:65d7a6b79f2e411e8880366e5c75c5bc,121150008023,27.367788,-82.618565,181050002011,4
172,sg:01635a176aa849e5920258262d164159,130890212132,33.94757,-84.33760500000001,181050002011,4
182,sg:c96193c2eee142788558d5c28ae96e24,131210101082,33.960754,-84.301381,181050002011,4
192,sg:4493e5e5103f44c7ad82b0e17a9288b2,171978803122,41.712421,-88.207555,181050002011,4
193,sg:a990bfcf64c34d2aa601b0ef91d6eb19,170317706022,42.004639000000005,-87.887628,181050002011,4
205,sg:113ee38ea1fe4d07a5d3880bebcfd2fa,170438465191,41.766335,-88.183576,181050002011,4
207,sg:3a7fe5f8a5224ac98cd336cc2aac3a6d,170319800001,41.975143,-87.90661,181050002011,4
213,sg:d5aef40cea3a4f8ca0aacc6cd5cb79f0,171978835151,41.504828,-87.89284599999999,181050002011,4
228,sg:10e181f398e54b8ab8313eac8f2b6887,170318055024,42.009809999999995,-87.830288,181050002011,5
237,sg:fcd35f39c9484866bca22fa476aacad4,170318042011,42.154026,-88.137465,181050002011,4
241,sg:fa7a87ec7369459a8c654dd93c0dfb1a,171978803101,41.667617,-88.204837,181050002011,4
253,sg:7efd2add59f84fe684de18d18d99cf49,171670018001,39.791017,-89.64792299999999,181050002011,4
254,sg:2bce8a698f5e4ecba5171dcd69af358d,170978644033,42.161125,-88.04945500000001,181050002011,4
259,sg:63f8bf6573f343eca3715b68a3eeeec8,171130005042,40.509845,-88.955949,181050002011,4
261,sg:0721849c8c424cfa9f1a09f5b16301d9,170318016081,42.106074,-87.84787299999999,181050002011,4
267,sg:0a083ebcf4dc426e832d2ddb4cea5be2,171670014001,39.799616,-89.650942,181050002011,4
268,sg:0695c2909dcd42d386b8c702a5906e97,170318423001,41.914731,-87.66444,181050002011,4
290,sg:4f2f98475abb4f6c8d88cf4ee5ce6af4,170978645121,42.198137,-87.967433,181050002011,4
292,sg:369f3d4b053a45aea20b94dafe96afeb,170318023001,42.089831,-87.82511,181050002011,4
306,sg:40d55edcd4e142d1b3a7945f4063a405,170978638012,42.273945,-87.950739,181050002011,4
311,sg:b696a08a99e84cbb88c8124ff2a66069,170318391001,41.88305,-87.628244,181050002011,4
312,sg:56ce058f01054dae97855e2e0b81ca7e,171130005042,40.512971,-88.95042,181050002011,4
326,sg:439166118aec4c19927dbe75e8fda3d1,170978645181,42.174597999999996,-87.956608,181050002011,4
340,sg:a9116ccae6df41cd992562795fe7c8dc,181050002021,39.167893,-86.51897199999999,181050002011,4
347,sg:15f3a99ee7f24fcc8b1d063e03a5f60b,181050002021,39.165063,-86.518292,181050002011,26
360,sg:4f99912868604fca8e63720ce4a27fa3,181050002021,39.166579999999996,-86.51746999999999,181050002011,4
361,sg:c62df7bcc4ac4c18b4a1e7ae7c338d6a,181050001002,39.166711,-86.528453,181050002011,6
378,sg:57d62cac0d0f42e195fe2338b441912e,180973202022,39.908787,-86.108624,181050002011,4
380,sg:23f519a8e0784115a6c6bdf0d7c15bbd,181050004013,39.161934,-86.57168399999999,181050002011,4
385,sg:dc5f2c11d20b47e28b1ba4482188ccd1,181050002021,39.168456,-86.517839,181050002011,16
402,sg:192b1c3f1ee5479a8304864dbb5fded3,181050001001,39.171918,-86.535197,181050002011,6
412,sg:b2d20de626454dcfbf78650a980d03b2,181050001001,39.16839,-86.533793,181050002011,6
418,sg:c0178e9724984c17a48d2b416d717e72,180350020001,40.225697,-85.37378000000001,181050002011,4
419,sg:1bc37fd6b50b4ac3844ec359a6ed4cb3,181050006011,39.166805,-86.541071,181050002011,4
422,sg:6862207a6b6d441c80453d7f1c617f0a,181050009043,39.163886,-86.48053,181050002011,4
458,sg:436cb8b49c4b4120b6efc5dbc9b3e35d,181050001002,39.171814000000005,-86.529586,181050002011,5
475,sg:dfc21e8bdae34328bc8b65f7beb9cd70,181050003014,39.163841,-86.524419,181050002011,4
494,sg:d932185b17c54c38bf6f45c102ae4f6c,180571109052,39.982383,-86.14607600000001,181050002011,4
502,sg:c409c7eb69cc4369be083348456c8a2e,181050013013,39.16924,-86.57293100000001,181050002011,4
508,sg:d91ff359801b4532832e3bd6282ef0a8,180571108092,39.99287,-86.00583,181050002011,4
535,sg:85f0040a16274ba3a7c6e6afbca81d8a,181570054002,40.424038,-86.907156,181050002011,4
538,sg:e62286abf577439f809781123bffb929,181050001002,39.166290999999994,-86.527247,181050002011,10
549,sg:c3133a6620994a0aa31f355c47fa7533,181050001001,39.172218,-86.535193,181050002011,8
