,safegraph_place_id,poi_cbg,latitude,longitude,source_cbg,visits
0,sg:b3c68268355e4631bae227c803460004,100030112022,39.832852,-75.536028,181050002011,4
12,sg:1bdceb6dcdd64d928382b67a9bfab2d0,40131138021,33.435681,-112.013975,181050002011,4
47,sg:48d5cb808a9e4be0a6744f2223a71479,60133390011,37.895629,-122.061146,181050002011,4
48,sg:2d8198ff5bed49c69c3abd0e92cde6b6,60590320543,33.6375,-117.59135900000001,181050002011,4
82,sg:cfb80f49853c4a369a9d93a14a806400,90010201002,41.054449,-73.540442,181050002011,4
97,sg:f8f4380aa1f34a96b0ef5072e63c78c7,121150009001,27.368295,-82.552479,181050002011,5
113,sg:65d7a6b79f2e411e8880366e5c75c5bc,121150008023,27.367788,-82.618565,181050002011,4
172,sg:01635a176aa849e5920258262d164159,130890212132,33.94757,-84.33760500000001,181050002011,4
182,sg:c96193c2eee142788558d5c28ae96e24,131210101082,33.960754,-84.301381,181050002011,4
192,sg:4493e5e5103f44c7ad82b0e17a9288b2,171978803122,41.712421,-88.207555,181050002011,4
193,sg:a990bfcf64c34d2aa601b0ef91d6eb19,170317706022,42.004639000000005,-87.887628,181050002011,4
205,sg:113ee38ea1fe4d07a5d3880bebcfd2fa,170438465191,41.766335,-88.183576,181050002011,4
207,sg:3a7fe5f8a5224ac98cd336cc2aac3a6d,170319800001,41.975143,-87.90661,181050002011,4
213,sg:d5aef40cea3a4f8ca0aacc6cd5cb79f0,171978835151,41.504828,-87.89284599999999,181050002011,4
228,sg:10e181f398e54b8ab8313eac8f2b6887,170318055024,42.009809999999995,-87.830288,181050002011,5
237,sg:fcd35f39c9484866bca22fa476aacad4,170318042011,42.154026,-88.137465,181050002011,4
241,sg:fa7a87ec7369459a8c654dd93c0dfb1a,171978803101,41.667617,-88.204837,181050002011,4
253,sg:7efd2add59f84fe684de18d18d99cf49,171670018001,39.791017,-89.64792299999999,181050002011,4
254,sg:2bce8a698f5e4ecba5171dcd69af358d,170978644033,42.161125,-88.04945500000001,181050002011,4
259,sg:63f8bf6573f343eca3715b68a3eeeec8,171130005042,40.509845,-88.955949,181050002011,4
261,sg:0721849c8c424cfa9f1a09f5b16301d9,170318016081,42.106074,-87.84787299999999,181050002011,4
267,sg:0a083ebcf4dc426e832d2ddb4cea5be2,171670014001,39.799616,-89.650942,181050002011,4
268,sg:0695c2909dcd42d386b8c702a5906e97,170318423001,41.914731,-87.66444,181050002011,4
290,sg:4f2f98475abb4f6c8d88cf4ee5ce6af4,170978645121,42.198137,-87.967433,181050002011,4
292,sg:369f3d4b053a45aea20b94dafe96afeb,170318023001,42.089831,-87.82511,181050002011,4
306,sg:40d55edcd4e142d1b3a7945f4063a405,170978638012,42.273945,-87.950739,181050002011,4
311,sg:b696a08a99e84cbb88c8124ff2a66069,170318391001,41.88305,-87.628244,181050002011,4
312,sg:56ce058f01054dae97855e2e0b81ca7e,171130005042,40.512971,-88.95042,181050002011,4
326,sg:439166118aec4c19927dbe75e8fda3d1,170978645181,42.174597999999996,-87.956608,181050002011,4
378,sg:57d62cac0d0f42e195fe2338b441912e,180973202022,39.908787,-86.108624,181050002011,4
418,sg:c0178e9724984c17a48d2b416d717e72,180350020001,40.225697,-85.37378000000001,181050002011,4
494,sg:d932185b17c54c38bf6f45c102ae4f6c,180571109052,39.982383,-86.14607600000001,181050002011,4
508,sg:d91ff359801b4532832e3bd6282ef0a8,180571108092,39.99287,-86.00583,181050002011,4
567,sg:8f0f620b740a4001a19504acd6a2d425,180571109041,39.997118,-86.123482,181050002011,4
598,sg:7a32f5e2c2054bc396ed72d1fa02ad16,180050102003,39.223535,-85.905568,181050002011,4
599,sg:00365f9910fc47bb8460b83839ca3136,180350011003,40.218472,-85.391984,181050002011,4
737,sg:cd326cc228554a0ba2096b0ef698ba66,180973302081,39.901037,-85.959709,181050002011,4
743,sg:02d1860015f84bde9203e516cc24ce20,180973202041,39.913882,-86.13817900000001,181050002011,4
753,sg:c1c061f7934f4b9898978680fe2eb047,180571108041,39.956427000000005,-85.919494,181050002011,4
758,sg:08820dea90db49aea32e81c709d3a6fb,180350020001,40.225336,-85.37397800000001,181050002011,4
794,sg:f7e2621c13d544adb75c23c8adf55832,180571109061,39.995851,-86.12988,181050002011,4
821,sg:1211d185005445319edd7833b13bff91,180571104031,40.006541,-86.123708,181050002011,4
843,sg:5944ffa5144c465299caeacc2f403aed,180118106053,39.950161,-86.261627,181050002011,4
1108,sg:08a788e3dc414c9f9fc05f227b2b31ef,150090319001,20.895259,-156.433069,181050002011,6
1117,sg:a522ec9d030b4701bfc85dfb78ba2b7c,40130304023,33.832995000000004,-111.951321,181050002011,4
1150,sg:8e28d78b34654278a2f88effa6c5e4d9,60014001001,37.853519,-122.233929,181050002011,4
1165,sg:d95372b982644a51bf09768aff3526a2,81170004024,39.477219,-106.044592,181050002011,4
1244,sg:b9b9d805cbc0482986f3f4784df849cc,120210110012,25.91282,-81.724514,181050002011,4
1271,sg:46926d9334d7464a9c31a785866d1837,160010001003,43.617465,-116.203216,181050002011,4
1274,sg:fc82aee614df4f1e93e19ecf6dc2fb92,170319801001,41.785371999999995,-87.742956,181050002011,4
